Time:128Hz,Epoch,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Reference,Reference,Event Id,Event Date,Event Duration
2719.9687500000,3,4322.8203125000,5674.3588867188,2161.6667480469,2104.4870605469,1379.7435302734,7088.3334960938,2358.5898437500,4760.5126953125,1442.0512695313,6210.8974609375,1308.4615478516,4846.1538085938,952.0512695313,453.4615173340,7730.5126953125,4321.6665039063,,,
2719.9765625000,3,1647.1794433594,3414.6154785156,1192.4359130859,3169.7436523438,2505.8974609375,6683.2050781250,6996.5385742188,2188.4614257813,330.3846130371,2662.5642089844,7823.8461914063,1862.3077392578,7.4358882904,6115.2563476563,1161.0256347656,7439.1025390625,,,
2719.9843750000,3,819.3589477539,5895.3847656250,5615.0000000000,6534.8715820313,4627.0512695313,6193.9741210938,4701.5385742188,5131.2822265625,1027.1794433594,5772.0512695313,8242.5644531250,4239.7436523438,3768.4614257813,7533.5898437500,6254.6152343750,1199.8718261719,,,
2719.9921875000,3,7011.9228515625,4556.5385742188,3682.5642089844,6936.7949218750,3184.6154785156,7407.3076171875,3865.0000000000,4244.3588867188,989.7435913086,3374.2307128906,14.8717861176,4739.4873046875,485.1282043457,1381.5384521484,6816.0258789063,1334.6153564453,,,
2720.0000000000,3,3030.7692871094,5894.2309570313,3777.1794433594,4532.8203125000,1531.4102783203,2442.3076171875,2477.5642089844,7958.3334960938,6372.9487304688,2345.1281738281,3467.8205566406,249.6153717041,6986.4101562500,4317.8203125000,4618.8461914063,775.5128173828,,,
2720.0078125000,3,4259.8715820313,4582.3076171875,6732.0512695313,5094.3588867188,2643.7180175781,5925.1284179688,7195.6411132813,333.8461303711,4495.3847656250,5675.1284179688,7304.6152343750,2802.8205566406,7838.8461914063,3885.8974609375,5550.1284179688,3664.7436523438,,,
2720.0156250000,3,4275.3847656250,6235.3847656250,3024.1025390625,5904.4873046875,6456.2822265625,4059.8718261719,7689.4873046875,1772.9487304688,3149.2307128906,8300.8974609375,7751.6665039063,8322.0517578125,6205.3847656250,5780.7690429688,2740.7692871094,7896.0258789063,,,
2720.0234375000,3,5565.3847656250,7758.5898437500,5710.0000000000,2277.4357910156,6375.2563476563,6908.8461914063,4850.1284179688,5923.7177734375,904.3589477539,2351.6667480469,18.9743499756,7564.6152343750,5705.2563476563,1888.8461914063,1401.0256347656,6011.7949218750,,,
2720.0312500000,3,6312.3076171875,1228.8461914063,8184.6152343750,1955.1281738281,4142.6923828125,2468.9743652344,6175.3847656250,2386.1538085938,7982.4360351563,2806.4101562500,1396.0256347656,691.9230957031,1056.4102783203,4944.4873046875,6749.3588867188,3479.1025390625,,,
2720.0390625000,3,1422.5640869141,7606.4101562500,3638.2050781250,459.3589782715,2120.1281738281,8019.1025390625,6374.1025390625,7173.5898437500,2652.8205566406,897.3076782227,799.4871826172,3803.4614257813,1538.5897216797,6697.0512695313,2400.7692871094,8321.5380859375,,,
