Time:128Hz,Epoch,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Reference,Reference.1,Label,Mode of Stimulus,Stage
710.40625,0,7441.1538085938,1389.7435302734,1015.6409912109,1397.5640869141,5103.205078125,849.4871826172,5708.9741210938,4011.5385742188,5690.1284179688,6556.6665039063,4265.8974609375,1180.3846435547,2416.2819824219,2459.4870605469,1024.6153564453,2389.8718261719,Lamp,audio,get_ready
710.4140625,0,7287.1796875,1571.6666259766,5993.7177734375,1620.0,3252.8205566406,2550.2563476563,4693.7177734375,3587.9487304688,3321.794921875,8025.7690429688,3107.1794433594,8222.1796875,4723.9741210938,5796.41015625,7901.41015625,4798.4614257813,Lamp,audio,get_ready
710.421875,0,961.5384521484,3353.205078125,8069.8715820313,3251.6667480469,6768.8461914063,5328.3334960938,7789.7436523438,8250.0,1353.7178955078,1557.4359130859,826.282043457,4316.5385742188,6349.1025390625,976.7948608398,657.4359130859,6700.2563476563,Lamp,audio,get_ready
710.4296875,0,5563.205078125,1723.205078125,2678.3332519531,5988.58984375,609.6153564453,3962.3076171875,3598.3332519531,6861.6665039063,3093.3332519531,471.0256347656,5496.5385742188,564.3589477539,2325.7692871094,234.7435760498,5723.7177734375,5260.384765625,Lamp,audio,get_ready
710.4375,0,6071.41015625,5457.8203125,1344.8718261719,6530.2563476563,2231.2819824219,3745.7692871094,7291.9228515625,3975.7692871094,7306.0258789063,1240.3846435547,1394.1025390625,7366.1538085938,7350.0,2212.4357910156,1871.2821044922,1520.3846435547,Lamp,audio,get_ready
710.4453125,0,557.3076782227,3893.0769042969,5410.5126953125,131.282043457,341.7948608398,2615.8974609375,556.4102783203,7941.41015625,3541.2819824219,2447.0512695313,4635.2563476563,3912.0512695313,6052.6923828125,1794.6153564453,7210.0,1696.9230957031,Lamp,audio,get_ready
710.453125,0,5319.3588867188,1977.6922607422,7563.58984375,7080.8974609375,100.5128097534,5095.8974609375,462.6922912598,1698.7178955078,1710.3846435547,6293.0771484375,3279.3588867188,3716.41015625,5441.794921875,2632.3076171875,4807.4360351563,3909.1025390625,Lamp,audio,get_ready
710.4609375,0,2647.8205566406,8069.1025390625,5841.1538085938,437.4358825684,1392.9487304688,2750.5126953125,3687.9487304688,5991.9228515625,4403.0771484375,5365.6411132813,7962.8203125,4366.5385742188,5849.4873046875,4743.8461914063,5534.7436523438,2412.9487304688,Lamp,audio,get_ready
710.46875,0,4312.1796875,3425.5129394531,3139.3588867188,2692.4357910156,7870.7690429688,125.256401062,34.1025543213,4431.2822265625,3757.9487304688,7680.0,7482.0512695313,3763.9743652344,5088.205078125,4430.6411132813,4590.8974609375,8217.9482421875,Lamp,audio,get_ready
710.4765625,0,1412.4359130859,5863.3334960938,7337.3076171875,4246.1538085938,7272.9487304688,417.6922912598,134.4871673584,3986.6667480469,7491.2822265625,6660.384765625,6804.4873046875,1116.794921875,3995.3845214844,5181.6665039063,7635.0,598.5897216797,Lamp,audio,get_ready
710.484375,0,6711.1538085938,8263.205078125,5031.0258789063,245.5128173828,2676.1538085938,6900.1284179688,7450.384765625,4733.0771484375,3193.7180175781,5652.3076171875,4413.4614257813,763.0769042969,340.2564086914,3657.1794433594,2096.794921875,2548.4614257813,Lamp,audio,get_ready
710.4921875,0,274.7435913086,6714.8715820313,3518.0769042969,323.0769042969,8360.0,5900.1284179688,4979.615234375,783.2051391602,982.8204956055,4723.205078125,8196.2822265625,5885.2563476563,7557.6923828125,3670.7692871094,6446.41015625,3711.0256347656,Lamp,audio,get_ready
710.5,0,2891.41015625,7235.5126953125,4328.3334960938,2396.0256347656,6262.8203125,8173.0771484375,5649.2309570313,6479.7436523438,1851.9230957031,2950.3845214844,1662.4359130859,3705.2563476563,4567.0512695313,2733.8461914063,6433.0771484375,1798.7178955078,Lamp,audio,get_ready
710.5078125,0,2590.6411132813,7017.0512695313,3506.41015625,4472.0512695313,7064.7436523438,1941.4102783203,8220.76953125,5300.2563476563,5941.1538085938,4162.9487304688,3836.1538085938,7047.4360351563,8037.0512695313,8306.2822265625,4955.384765625,4008.9743652344,Lamp,audio,get_ready
710.515625,0,1504.6153564453,1917.3077392578,1687.3077392578,7421.794921875,3894.2307128906,6422.5639648438,4218.4614257813,7254.7436523438,2061.6667480469,476.0256347656,7034.1025390625,6998.4614257813,8316.794921875,7848.8461914063,2013.4615478516,8135.1284179688,Lamp,audio,get_ready
710.5234375,0,1123.5897216797,6166.41015625,1795.3846435547,156.0256347656,2954.8718261719,3615.5129394531,916.5384521484,2789.2307128906,6522.3076171875,5210.384765625,6214.7436523438,6578.8461914063,801.7948608398,2748.7180175781,4981.1538085938,7110.5126953125,Lamp,audio,get_ready
710.53125,0,7241.9228515625,3716.41015625,249.9999847412,158.2051239014,786.0256347656,1036.0256347656,2480.0,2242.3076171875,2285.6411132813,3154.4870605469,5355.7690429688,4850.6411132813,1253.8461914063,2266.9230957031,1838.3333740234,4617.0512695313,Lamp,audio,get_ready
710.5390625,0,2892.8205566406,3567.5642089844,1627.0512695313,2970.1281738281,5657.5639648438,5477.6923828125,1155.8974609375,4379.7436523438,2468.3332519531,4600.384765625,3004.1025390625,873.5897216797,6893.205078125,5979.4873046875,1374.3590087891,3394.8718261719,Lamp,audio,get_ready
